0,x,y,z
C,1.4339954,-1.224482,0.2204771
C,2.2152946,-0.128705,0.0977648
C,-0.0289432,-1.1433945,0.1933768
C,-0.6737856,-0.0295205,-0.221119
C,0.1679511,1.135049,-0.7312888
C,1.5426442,1.2293432,-0.0400912
C,3.7176234,-0.1666499,0.1749261
C,-2.1854396,0.1277216,-0.2910444
C,-2.961937,-1.2000458,-0.2276863
C,-2.6969868,1.0957151,0.8081327
H,1.8870867,-2.2018654,0.3709946
H,-0.5842321,-2.0233202,0.5034031
H,-0.3709354,2.083484,-0.6166826
H,0.3158824,0.9993954,-1.8173657
H,1.4228168,1.6646597,0.9678735
H,2.1885574,1.9222862,-0.5947636
H,4.0885412,-1.1849573,0.3319212
H,4.0894962,0.4598595,0.9998561
H,4.1780625,0.2244627,-0.7437829
H,-2.4097696,0.5979141,-1.2645256
H,-4.0338577,-1.0191388,-0.3678552
H,-2.8361162,-1.6884306,0.7465175
H,-2.6281738,-1.8972888,-1.0038899
H,-3.7711175,1.2823727,0.6883131
H,-2.1820415,2.0619623,0.771566
H,-2.5321111,0.6615933,1.8014525
